state,idProduct,combinacion_id,referencia,referencia_combinacion,cantidad,cantidad_referencia,ean13_producto,ean13_combinacion,precio_producto,precio_combinacion,precio_mayor,precio_m_combinacion
1.0,8.0,,,,20.0,,8400000000086,,4.642865,,2.44,
1.0,15.0,,,,34.0,,8400000000154,,5.292695,,2.06,
1.0,18.0,,,,0.0,,8400000098987,,2.367676,,1.0,
1.0,19.0,,,,0.0,,8400000232030,,5.99,,1.25,
1.0,25.0,,DOW-AJUSTABLE-20W,,900.0,,8400000567005,,4.917355,,2.14,
1.0,27.0,,,,280.0,,8400000000277,,7.892562,,3.76,
1.0,35.0,,,,0.0,,8400000000352,,5.702479,,3.47,
1.0,56.0,,,,0.0,,8400000001762,,0.99,,0.55,
1.0,65.0,65.0,,159,41.0,89.0,8400000001779,8400000000659,16.0,0.0,7.4,0.0
1.0,70.0,,,,30.0,,2400007700082,,7.866364,,8.0,
1.0,90.0,,testy,,56.0,,8400000000901,,1.066116,,0.64,
1.0,94.0,,TIRA300LED5050,,80.0,,8400000007207,,12.733678,,0.0,
1.0,114.0,,TIRAIP65220V,,1229.0,,1119855499,,5.801443,,0.0,
1.0,119.0,,LAMP20W,,2.0,,5567309211209,,66.864101,,4.0,
1.0,120.0,120.0,LAMP30W,18,1.0,176.0,5567309211230,8400000002165,73.747171,0.0,4.0,0.0
1.0,126.0,,,,0.0,,8400000001267,,3.377406,,1.0,
1.0,128.0,,,,60.0,,8400000087999,,12.68595,,4.95,
1.0,129.0,,,,1299.0,,8400000876756,,18.991736,,7.41,
1.0,131.0,,,,55.0,,8400009872361,,25.628099,,10.0,
1.0,136.0,,B-PANEL URANUS,,2.0,,8400000001366,,16.425312,,7.36,
1.0,139.0,,,,34.0,,8400000001397,,1.71008,,0.78,
1.0,146.0,,,,40.0,,8400000892929,,2.522367,,1.17,
1.0,148.0,,8015,,224.0,,8400000832983,,2.727273,,0.59,
1.0,153.0,,,,20.0,,8409000000055,,6.115509,,3.34,
1.0,155.0,,,,40.0,,8400000001557,,0.785124,,0.5,
1.0,156.0,,20BOME275WG45,,286.0,,90398755432,,19.665913,,15.79,
1.0,162.0,162.0,5015,TIRAIP65-8-6K,597.0,99.0,8400000001625,8400000001946,8.570248,12396694.0,3.34,0.0
1.0,163.0,163.0,,TIRALEDIP65-9,20.0,100.0,8400000001632,8400000001953,8.347106,14049587.0,4.34,0.0
1.0,164.0,,,,0.0,,8400000001649,,3.39,,0.5,
1.0,166.0,166.0,ST4209,7135,2.0,0.0,90987656789,8400000002332,9.405437,0.0,0.0,0.0
1.0,167.0,,,,40.0,,8400000015622,,11.603306,,4.64,
1.0,172.0,172.0,KITSUSPA,ST4239,0.0,0.0,8400000002455,8400000002387,4.670655,0.0,0.0,0.0
1.0,177.0,,,,40.0,,6889090933320,,12.586183,,3.26,
1.0,179.0,,FUENTE12V36W,,98.0,,8400000002493,,4.10419,,0.0,
1.0,189.0,,,,60.0,,8400000001892,,0.867769,,0.64,
1.0,192.0,,,,29.0,,8400000001922,,7.644628,,3.67,
1.0,193.0,,,,285.0,,1109775392177,,8.64,,4.07,
1.0,206.0,,8056,,60.0,,8400000002066,,0.818182,,0.55,
1.0,207.0,,,,16.0,,8400000002073,,66.033058,,35.1,
1.0,208.0,,,,0.0,,8400000002080,,61.990374,,36.8,
1.0,211.0,211.0,,8117,0.0,1837.0,8400000002110,8400000002110,7.447396,0.0,3.55,0.0
1.0,217.0,217.0,PERF12V1ME,8217,0.0,0.0,8400000002691,8400000002530,2.892562,997934.0,0.0,0.0
1.0,224.0,,D-18W-PLATA,,454.0,,7770989032219,,8.507643,,2.0,
1.0,232.0,,5021CTRL,,20.0,,8400000002769,,22.51747,,10.85,
1.0,233.0,,CONTIRALED,,0.0,,8400000002776,,0.684032,,0.0,
